,SPY,AGG
,close,close
date,,
2019-01-29,-0.001326963906581602,0.0026261489401613325
2019-01-30,0.015830834060969412,0.0022450888681009307
2019-01-31,0.008782420210778241,0.0029867463132349226
2019-02-01,0.00048160634238514355,-0.004559836218127611
2019-02-04,0.007035473598459463,-0.0008413573899224147
2019-02-05,0.004191792910722247,0.0021519461077845747
2019-02-06,-0.001318198462101794,-0.0005601717860144184
2019-02-07,-0.009532888465205058,0.0004670714619336991
2019-02-08,0.0012215888058044744,0.0022408963585434094
2019-02-11,0.0005545901578731804,-0.0010247810694987702
2019-02-12,0.012859359988175445,0.00018651496782617905
2019-02-13,0.0032469901495804088,-0.0017715617715617915
2019-02-14,-0.002218262482272082,0.0014944890715486991
2019-02-15,0.010897295721262523,0.0007461294534600871
2019-02-19,0.001730540433356298,0.0005591798695248063
2019-02-20,0.002015475976246295,9.314456035780516e-05
2019-02-21,-0.0035559067562228597,-0.002235261246158249
2019-02-22,0.0061999855814287574,0.002520302436292532
2019-02-25,0.0013613240667764703,-0.00027932960893850556
2019-02-26,-0.0007155123068116609,0.0011176306230789024
2019-02-27,-0.0004296147787483662,-0.002139733928737453
2019-02-28,-0.0018624641833809852,-0.0017713966063771514
2019-03-01,0.006243720396153396,-0.004109461100214817
2019-03-04,-0.003637401041295285,0.0012191690893745832
2019-03-05,-0.0013600572655690923,0.0006556762832521379
2019-03-06,-0.006056913482904491,0.001497706636712559
2019-03-07,-0.008365485162081243,0.002804000373866744
2019-03-08,-0.0019999272753717934,0.0013048746388293342
2019-03-11,0.014501202360999832,9.308386856554662e-05
2019-03-12,0.0037710099123688945,0.0018615040953089412
2019-03-13,0.006619199255787134,-0.000464511334076545
2019-03-14,-0.0006397952655148309,-0.0014871270564178474
2019-03-15,0.0005335040546308178,0.002513264451270647
2019-03-18,0.003625893142796155,-0.00018570102135562205
2019-03-19,0.00024793681153267855,-0.0005572065378900426
2019-03-20,-0.003009915014164144,0.004088459394164579
2019-03-21,0.011294619072988787,0.0001850823616509345
2019-03-22,-0.019246303515611296,0.004996299037749896
2019-03-25,-0.0007520143240823396,0.0018412815319461817
2019-03-26,0.007454128440366858,0.00018378974453225894
2019-03-27,-0.005229083665338696,0.0021131936787943673
2019-03-28,0.003790452351153162,9.168423947936155e-05
2019-03-29,0.006305439777706701,-9.167583425018222e-05
2019-04-01,0.011859246672330626,-0.006968002200421708
2019-04-02,0.0004898016303398478,0.0011079309389714354
2019-04-03,0.0015735916354862045,-0.001844507977497023
2019-04-04,0.0026534459884086647,0.0007391665896701038
2019-04-05,0.004840169928267857,0.0007386206259809569
2019-04-08,0.0007623800117824153,-0.0004612971676353217
2019-04-09,-0.005124831192215851,0.0005538120731032325
2019-04-10,0.003410949845115141,0.001937269372693562
2019-04-11,-0.0002774983523536889,-0.001196943191234645
2019-04-12,0.006765899864682234,-0.0019358407079647089
2019-04-15,-0.0006548111386820432,-0.00018472337674324546
2019-04-16,0.0006552401972617083,-0.001755196304849882
2019-04-17,-0.0024469258340227285,-9.254118082546725e-05
2019-04-18,0.0019692520297114324,0.0012956964368349144
2019-04-22,0.0008620095165849939,-0.0012015897957297073
2019-04-23,0.008991628483825398,0.0017582824356838778
2019-04-24,-0.0022193389784210815,0.002309468822170979
2019-04-25,-0.000615953187557805,-9.216589861760216e-05
2019-04-26,0.004656736860126687,0.0020278366669739256
2019-04-29,0.0015677720595752564,-0.0017477692944530832
2019-04-30,0.0005104297818763204,0.000645042388499828
2019-05-01,-0.007516495476498131,-0.001749700709089197
2019-05-02,-0.002158939035673879,-0.0022140221402214832
2019-05-03,0.009787760148361802,0.0016642011834320236
2019-05-06,-0.004115226337448541,0.0012922281705740613
2019-05-07,-0.01669967898367597,0.0011983775811208464
2019-05-08,-0.00138922654811946,-0.00018414510634379155
2019-05-09,-0.0030257712238721535,0.0005525370660282025
2019-05-10,0.005023372636572931,0.0001840773124712758
2019-05-13,-0.025130163137799366,0.0016563909082543127
2019-05-14,0.009043651641386985,0.0008268259072117257
2019-05-15,0.0058574453069866195,0.0017440793097116547
2019-05-16,0.009261208166701618,-0.0011912398057362106
2019-05-17,-0.006465067778936406,0.0002752293577981124
2019-05-20,-0.006612090680100713,-0.001375768137209965
2019-05-21,0.009015671773199507,-9.184423218211446e-05
2019-05-22,-0.003071446022826385,0.0016533480297602487
2019-05-23,-0.012218604488324125,0.0029344337459882297
2019-05-24,0.002268377401290156,0.00036573100484593724
2019-05-28,-0.009300516302425899,0.0014623891783200893
2019-05-29,-0.006710690701409949,0.0002737975723281494
2019-05-30,0.0027311603837998355,0.0026459854014599937
2019-05-31,-0.013475253556965217,0.004641004641004587
2019-06-03,-0.002542957823228109,0.0
2019-06-04,0.021706668609097868,-0.0009057971014493349
2019-06-05,0.008662175168431263,-0.0005439709882140153
2019-06-06,0.006502685891998983,-0.00018142235123363992
2019-06-07,0.010007022471909988,0.0028125567047723177
2019-06-10,0.004588910133843438,-0.0026237220664073746
2019-06-11,-0.00024223967885961262,-0.00018142235123363992
2019-06-12,-0.0017653167185877061,0.0012701868989293263
2019-06-13,0.004126356669787334,0.002174700978615496
2019-06-14,-0.001105048691207977,-0.0002712477396021873
2019-06-17,0.00038028071631068805,-0.00027132133490082033
2019-06-18,0.01047102325742122,0.0027139497014654346
2019-06-19,0.0022571819425445394,0.003428365211115114
2019-06-20,0.009554357469460317,0.0017083258406760393
2019-06-21,-0.0062867572500507896,-0.0026029979355532973
2019-06-24,-0.001224489795918382,0.0017998560115188855
2019-06-25,-0.00980792807519415,0.00017966223499832346
